	smoker	hbver	erytrocyty	alt	leukocyty	etytr	hemoglobin	ssn	name	trombocyty	alp	relationship	indicator	er-cv	weight	ast	hematokrit
0	yes	4.98718	8.89463	2.40520	5.75830	6.93712	4.54976	021-87-4523	Jeremy Tanner	6.23782	45.93625	divoced	0.00000	55.43592	-2.73558	51.62366	3.34206
1	yes	6.67732	4.21847	0.66072	6.29064	5.19990	4.10863	513-39-9691	Jocelyn Kelly	6.27100	20.30249	divoced	0.00000	45.34617	81.56533	61.59374	5.78180
2	no	6.51444	7.94461	1.28337	5.83567	6.88758	6.45793	881-46-4810	Crystal Kelley	6.02783	82.09305	divoced	0.00000	29.29190	151.24191	47.96329	4.55230
3	no	6.05025	7.67537	0.83197	6.33300	4.45912	6.96013	826-16-7757	Doris Duncan	6.83876	69.43441	divoced	1.00000	60.47398	83.89451	57.47174	7.17271
4	yes	6.20737	7.84993	0.93395	5.66904	4.88628	6.41332	167-37-6059	John Parks	5.75903	90.09567	divoced	1.00000	41.10299	107.22958	34.25820	6.93681
5	no	6.43927	5.78198	0.38563	5.68222	3.97928	4.90713	289-95-2344	Shawn Richardson	6.70422	55.98531	divoced	0.00000	70.18438	45.97264	43.98447	4.77041
6	yes	6.20765	5.61952	0.54770	3.98821	6.22502	7.63128	684-70-5275	Janice Buchanan	7.42329	54.79463	single	1.00000	52.69461	34.70731	70.42152	7.60427
7	no	4.31997	8.26529	1.53396	5.57558	4.13495	7.57753	555-32-3180	Catherine Jackson	5.60203	65.09512	married	1.00000	49.80798	91.49829	67.64974	7.25248
8	no	4.82413	6.25616	0.54975	6.43054	5.79923	6.90669	479-42-8879	Amanda Garcia	6.36469	72.65451	widowed	1.00000	54.45955	118.55927	44.94089	6.92202
9	no	5.74884	6.66503	0.52396	6.99089	5.59373	8.31328	375-27-0860	Travis Brown	5.38674	26.96196	married	1.00000	42.93586	81.83422	38.56586	6.65939
10	no	4.31241	7.25827	0.80014	6.15688	5.11004	6.20287	183-20-9355	Heather Thompson	5.80444	83.43105	single	1.00000	51.42907	113.34245	46.63501	8.80580
11	no	8.21959	8.05838	1.17248	5.28413	4.06012	7.33978	457-15-2919	Jason Santana PhD	4.01752	66.94510	married	1.00000	54.36463	112.13100	47.64931	7.54272
12	yes	5.08049	9.21046	3.34570	6.03555	4.85467	4.14798	614-58-8314	Wanda Smith	5.26303	34.58646	divoced	1.00000	17.65645	89.57963	68.72278	4.52938
13	yes	7.45110	7.22010	0.72501	6.02178	4.66984	4.14221	261-93-9215	Sandra Pena	6.93466	31.96767	nop	1.00000	67.13139	71.15045	48.41108	7.49792
14	Y	6.10738	6.98329	0.85676	6.00909	5.07225	6.95085	077-79-1185	Jeremy Johnson	6.65659	74.65031	single	1.00000	34.27612	28.79758	55.76176	7.27109
15	yes	7.64993	6.76713	0.99596	6.17435	5.25365	6.85088	747-75-2718	Julia Bradley	5.66906	78.05102	single	1.00000	32.45748	51.83368	30.70693	7.07000
16	no	6.76944	9.49805	4.20608	7.39490	2.90578	4.99214	217-22-6048	Stephanie Gomez	6.62378	58.31282	single	1.00000	79.77593	81.96216	55.45020	7.48805
17	no	7.10819	3.89519	0.22901	5.90512	6.30126	1.87604	819-66-0942	April Reese	4.78785	38.60929	married	0.00000	56.68370	38.48543	51.21907	5.96378
18	Y	6.59629	3.02766	0.50115	6.10040	6.68231	3.70501	017-05-1040	Erin Strong	6.67336	16.01681	married	0.00000	60.31242	107.07777	42.88440	6.50279
19	yes	6.64626	8.76048	2.24827	6.83682	5.02673	6.08137	595-60-7899	Christopher Robertson	4.71356	81.19239	single	1.00000	45.64465	111.33440	26.13489	6.58043
20	no	5.32470	7.23940	0.75588	6.24852	5.78178	5.69910	734-01-6598	Matthew Ford	5.15778	79.52648	divoced	1.00000	63.10557	108.16103	73.68074	9.15667
21	no	7.06366	7.27339	0.83847	6.35090	5.16562	9.02429	095-13-1090	Carl Mercado MD	7.51565	10.72961	single	1.00000	62.16230	39.51918	49.98384	6.80535
22	yes	5.84631	6.99658	0.63732	5.71946	5.53518	3.36235	028-62-4792	Rebecca Ingram	6.74265	6.94759	widowed	1.00000	59.64456	113.72443	34.75547	7.38737
23	Y	5.57751	8.20450	1.31773	3.91736	4.41156	9.16111	802-12-8966	Brian Greene		10.32427	widowed	1.00000	57.80336	98.04237	41.40996	6.65304
24	Y	7.61206	7.69918	1.08564	7.04827	7.44726	6.44579	857-13-4725	Samantha Allison	4.98886	90.23303	married	0.00000	30.68840	49.61029	56.23683	4.74904
25	no	6.43945	7.85188	1.21677	6.63348	5.20188	8.52188	761-31-5575	Taylor Jones	6.22889	20.27276	divoced	0.00000	46.21490	102.18156	64.48727	5.46142
26	no	5.98416	8.75098	2.34758	6.97368	4.13614	6.02550	271-92-7890	Nicholas Brown	6.12541	89.03499	single	1.00000	29.57705	63.99211	56.02765	4.90759
27	yes	5.78805	5.69184	0.29850	7.11415	5.97260	7.19092	632-56-4699	Angelica Martinez	3.97452	73.80399	single	1.00000	47.97937	103.00346	68.04953	7.44906
28	no	7.25409	8.34818	1.64018	6.87874	4.79668	4.70612	266-42-4315	Teresa Decker	7.05146	53.74485	married	1.00000	62.31380	22.98901	67.27433	7.31856
29	no	6.78030	6.65904	0.53561	7.85939	8.99554	6.63936	689-22-8286	Anne Miles	6.23041	89.79356	divoced	0.00000	47.20687	96.47496	55.15788	4.96330
30	Y	6.18802	4.31730	0.13991	5.50567	7.54723	10.38880	417-12-1264	Amber Ortiz	7.54969	24.53660	single	1.00000	44.59339	-7.59295	33.70886	7.03846
31	no	6.81666	6.80811	0.72062	4.99607	3.61830	4.37391	847-76-0270	Cindy White	7.17064	40.38449	married	1.00000	45.18624	65.13024	55.07032	4.52907
32	no	6.59468	5.99177	0.49501	5.86171	5.91506	9.11161	322-96-3605	Candice Russell	4.46445	13.95793	divoced	1.00000	49.60392	78.68970	58.29973	6.77005
33	no	7.27693	7.26899	0.97869	4.11015	6.05265	2.91872	538-08-6553	Amber Chen	4.79793	9.30383	nop	1.00000	62.45613	15.95539	59.25399	7.14467
34	Y	8.42246	8.47514	1.95879	6.79284	3.99272	7.04506	747-60-0308	Michael Boyd	5.54107	73.05113	divoced	1.00000	38.19835	27.92678	29.26136	6.42334
35	no	7.72769	6.85713	0.64237	5.53839	4.54966	3.55230	273-93-0828	Jason Bean	4.22090	12.00096	separated	0.00000	48.31236	34.70977	31.54765	5.25213
36	no	7.47063	7.52490	0.96705	6.25434	3.89179	6.21907	835-96-8938	Anthony Le	3.95272	94.64648	single	1.00000	59.59358	3.93589	68.85335	5.05859
37	yes	6.46112	7.15016	0.83023	5.00777	4.85628	6.01807	763-98-1034	Theresa Cooper	4.56588	86.82863	separated	1.00000	46.68053	103.40739	27.09731	8.20612
38	no	6.17263	6.49925	0.75366	6.43051	7.07999	8.88874	499-32-7650	Anthony Johnson	6.29253	13.47114	single	0.00000	46.16648	87.84149	41.35448	5.65276
39	no	4.74859	7.83714	1.02486	7.77987	4.44942	6.42209	016-51-2042	Karen Jackson	6.53616	85.81526	married	1.00000	53.25041	57.98239	45.75880	7.61520
40	no	7.76934	3.09220	0.53773	8.46576	4.58764	4.66062	256-60-7468	John Wilson	6.18834	50.01771	divoced	0.00000	49.41178	41.96062	53.18031	6.48164
41	no	6.83145	7.54677	0.87447	5.92607	8.15570	6.01601	143-94-7175	Hayley French	4.91743	75.11590	widowed	0.00000	29.31493	7.42061	39.88829	4.72767
42	no		9.08375	3.09280	6.00825	3.38478	8.43951	302-31-6362	Michelle Jennings	6.05276	24.80507	married	1.00000	72.38761	32.41187	24.67780	7.71584
43	no	5.71185	8.24408	1.37273	7.29765	4.79669	8.06398	702-54-0581	Benjamin Lynch	6.93324	39.75725	married	0.00000	49.60581	53.95126	60.10804	4.93121
44	yes	4.87453	5.56776	0.57039	7.73112	4.55167	4.44387	346-50-1078	Leslie Wilson	6.92892	35.27399	married	0.00000	32.03469	76.04407	38.26909	4.53679
45	no	3.96113	7.07131	0.71743	5.43437	4.48127	4.15877	237-16-8481	Nancy Blair	7.13483	31.33308	divoced	1.00000	46.02241	33.11628	52.20537	6.80991
46	yes	6.12067	5.17148	0.27761	7.31766	5.39036	2.86698	070-08-9645	Pamela Shannon	5.10303	17.98539	divoced	0.00000	48.33832	11.22469	61.53442	4.98002
47	yes	5.91390	6.31362	0.59595	4.88690	8.07634	7.95194	234-84-6177	William Ball	5.50612	42.62067	widowed	0.00000	63.84559	16.25816	46.00683	4.83462
48	no	7.03543	4.73335	0.31978	5.33597	6.90464	9.24237	731-25-2387	Austin Moody	6.17946	11.01280	married	1.00000	43.55953	59.11933	52.11639	7.49035
49	no	6.55216	7.66444	0.62704	6.08417	4.54037	6.58881	266-85-5531	Ryan Stanley	6.70908	90.97425	widowed	1.00000	54.19066	56.00143	44.23961	6.74716
50	Y	5.56863	6.28091	0.39937	5.96796	8.21500	8.17478	411-54-3577	Angie Ward	5.80872	34.84820	married	0.00000	72.08651	113.44968	33.22236	5.56307
51	no	6.23541	5.88502	0.20448	6.32570	8.83749	8.33209	853-37-2811	Jason Williams	6.57158	26.06007	divoced	0.00000	26.62567	124.65186	64.53241	5.96507
52	no	6.59933	9.20970	3.19239	5.38909	5.91096	5.15519	357-47-1543	Darren Mccoy	5.83171	68.22411	married	1.00000	41.61699	40.27646	65.56920	3.64349
53	yes	7.40878	6.07216	0.47665	4.40415	3.29630	7.49221	539-86-0780	Natalie Cannon	7.02838	60.86680	widowed	0.00000	59.40674	48.23459	54.01198	4.30972
54	no	5.97177	8.69289	2.06768	5.99252	5.11062	4.44063	256-71-0289	Denise Franklin	4.34094	30.47223	single	1.00000	31.90601	97.87237	62.83843	8.03106
55	no	5.89390	5.13614	0.49702	4.59081	4.85254	5.58808	687-51-1865	Diana Ellis	4.83659	81.81370	single	1.00000	38.82263	80.16029	47.36443	4.35798
56	no	6.62904	8.80133	2.20696	7.26118	3.48582	7.82616	289-02-1466	Kevin Hernandez PhD	7.13051	47.16506	married	1.00000	25.86736	39.03280	66.10968	7.89419
57	no	6.54907	4.38979	0.75729	6.04971	6.15221	4.64479	551-97-3115	Phyllis Lewis	5.37563	47.33997	widowed	0.00000	75.67811	57.40394	67.61290	5.45847
58	Y	4.64617	5.91538	0.64431	5.68809	4.68873	5.40698	647-02-3247	Rebecca Bell	6.52510	71.41939	widowed	1.00000	38.35150	62.85105	45.63918	7.84801
59	no	6.58548	6.34993	0.81876	5.95048	4.72753	3.22142	582-29-6225	Samantha Cowan	6.12727	6.28603	single	1.00000	54.59808	68.34285	32.06792	5.68240
60	N	5.63737	6.91401	0.67321	7.81905	4.50160	5.83795	265-34-5934	Donna Adams	6.95520	84.29330	married	1.00000	48.20101	-7.23950	33.65290	10.00663
61	yes	5.38548	6.91738	0.68602	5.63675	3.09859	6.57855	259-19-9075	Melissa Edwards	5.82392	89.07504	widowed	1.00000	41.75395	60.75701	61.66340	4.71691
62	no	6.61314	4.30194	0.65043	5.34960	6.08868	4.29579	063-52-0034	Tracy Curry	5.53672	41.93357	divoced	0.00000	49.91896	85.04344	66.93857	5.70178
63	no	6.66106	4.74123	0.56178	7.15042	7.06039	9.25029	695-69-5493	Dustin Andrews	7.56860	10.91140	divoced	1.00000	70.42948	67.55364	64.42667	7.35829
64	yes	7.16354	7.82990	1.27222	5.03962	4.11679	8.02753	039-07-9418	Kelly Steele	5.74084	44.16618	divoced	1.00000		54.49013	49.56780	5.11097
65	Y	7.01610	7.39700	0.63613	5.38890	4.82501	6.46943	751-10-7650	Michelle Cochran	4.31431	84.27114	married	1.00000	57.84549	69.80626	44.45870	7.62868
66	yes	6.60421	8.58375	2.09294	6.40911	6.99787	5.14353	477-26-3091	Christopher Hopkins	5.84320	76.18790	nop	0.00000	63.67057	56.79378	53.28042	3.84427
