	birthdate	address	race	current_location	blood_group	ssn	name	sex	residence
0	1956/01/07	"76379 Lynn Drive
Kevinchester, VA 69374"	Asian	(Decimal('44.490493'), Decimal('-141.873900'))	A-	328-14-6945	Michelle Perez	F	"39446 Gabrielle Pass Suite 764
East Danielle, VA 34736"
1	10/28/1984, 00:00:00	"PSC 8195, Box 7465
APO AP 27883"	White	(Decimal('-60.5512795'), Decimal('101.998999'))	B+	841-17-8814	Christopher Bishop	M	"18019 Mary Mountains
Scottport, IA 19641"
2	1966-08-30	"3345 Daniels Parks Suite 080
New Nancy, TX 84969"	Asian	(Decimal('-24.9800585'), Decimal('-18.208792'))	A-	871-67-9396	Emily Stevens	F	"4906 Matthew Field
Galvanfort, SC 22896"
3	1910/08/08	"3368 Brent Mall Suite 782
Port Cheryl, WV 04259"	black	(Decimal('51.679296'), Decimal('-96.270056'))	O+	859-80-8937	Carla Hernandez	F	"USCGC Schroeder
FPO AE 57164"
4	1972-10-28	"175 Michael Neck
South Nicoleberg, PA 96022"	White	(Decimal('-85.5392635'), Decimal('-154.434283'))	O+	481-92-7602	Anthony Smith	M	"2148 Webb Valley
North Madison, KS 07434"
5	31 Mar 1989	"USNV Johnson
FPO AP 32339"	white	(Decimal('-14.0121985'), Decimal('-122.796017'))	AB-	273-99-1555	Scott Campbell	M	"4115 Bowman Coves Apt. 957
Hollandland, NJ 93026"
6	06 Dec 1917	"Unit 3895 Box 8817
DPO AA 44069"	Asian	(Decimal('-35.169301'), Decimal('-153.383042'))	A-	564-52-3982	Ryan Ramirez	M	"14408 Robert Mountains Suite 672
Richardport, NE 23824"
7	2005-03-30	"65932 Benjamin Trafficway
Bradleyview, MN 64346"	White	(Decimal('-76.0427015'), Decimal('-176.397613'))	B+	443-16-4619	John Martinez	M	"Unit 1668 Box 0922
DPO AE 29854"
8	10 Aug 1920	"31360 Caleb Isle Suite 718
Lynnfurt, OH 70966"	Black	(Decimal('-86.563849'), Decimal('-164.137234'))	A+	667-24-8122	Ricardo Wright	M	"28996 Jacobs Rue
Port Rachaelside, NE 55686"
9	2012-06-28	"8584 Branch Isle
Brianshire, ND 32402"	White	(Decimal('-21.404155'), Decimal('105.809768'))	O+	421-41-3600	Angela Mcgee	F	"49107 Ortiz Hills Suite 611
Houseborough, TN 37910"
10	1999-01-16	"Unit 9865 Box 1681
DPO AP 57153"	Black	(Decimal('21.9315905'), Decimal('-97.285870'))	O-	355-81-9846	Angela Hunter	F	"3931 Sarah Centers
Kimberlyfort, NC 02815"
11	1929-04-11	"94659 Maria Viaduct Apt. 732
Woodsville, MO 56936"	Hawaiian	(Decimal('-33.257476'), Decimal('57.582451'))	AB+	507-82-7670	David Martinez	M	"8368 Marvin Springs Suite 187
West Amanda, MT 96455"
12	28 Aug 1958	"100 Gabriel Loop Suite 431
West Ernestmouth, MO 24342"	White	(Decimal('-77.0612455'), Decimal('136.342422'))	O+	779-81-5938	Mr. Gregory Stewart PhD	M	"3813 Fowler Underpass
Lake Sethburgh, NJ 57642"
13	07/10/1914, 00:00:00	"216 Harper Port
Grahamtown, IA 70302"	White	(Decimal('-77.6460375'), Decimal('174.828382'))	O-	737-92-9959	Deborah Russell	F	"521 Cassandra Greens Apt. 079
Pamelahaven, SC 58748"
14	06 Sep 1924	"Unit 2046 Box 3167
DPO AP 39899"	White	(Decimal('76.9294715'), Decimal('-93.455644'))	A+	135-44-4698	Michael Allen	M	"2367 Gomez Fork Suite 550
Michelehaven, FL 66788"
15	1954/07/04	"00054 Brittany Highway
New Alicia, NV 45380"	Black	(Decimal('-35.224751'), Decimal('-173.590742'))	O-	558-48-2310	Nicole Vaughn	F	"649 Martinez Stream
Johnborough, NV 68639"
16	2021-06-05	"USNS Calhoun
FPO AP 11120"	Asian	(Decimal('30.1238195'), Decimal('111.000306'))	A-	849-69-2206	Ashley Neal	F	"73432 Gonzalez Mountains
North Kyleside, CO 88416"
17	1910-06-05	"PSC 1806, Box 1370
APO AE 15979"	White	(Decimal('43.2493895'), Decimal('-55.572280'))	AB-	484-10-6977	Jack Pena	M	"82197 Jason Divide Suite 855
Port Andreabury, AK 27563"
18	10/21/1983, 00:00:00	"74191 Howard Village Apt. 660
New Jenniferchester, WI 95282"	Black	(Decimal('84.584970'), Decimal('67.719147'))	AB-	838-70-9108	James Guzman	M	"05645 Leon Way Suite 765
West Kaitlinside, NM 53245"
19	1958/08/01	"033 Khan Drive
Lake Brucefort, ID 56601"	White	(Decimal('37.468797'), Decimal('-64.206045'))	O-	383-95-2592	Kimberly Lambert	F	"52224 Phillips Point Apt. 675
South Katherine, CO 66013"
20	08/12/1968, 00:00:00	"49522 Smith Unions
Williamsside, WV 89835"	Asian	(Decimal('-74.516598'), Decimal('-84.406766'))	O-	143-94-7175	Hayley French	F	"95192 Alison Extension Suite 191
North Mike, NM 83290"
21	2013/03/11	"78105 Carroll Shoal
Markville, WV 49878"	White	(Decimal('22.1291535'), Decimal('-166.148019'))	O+	383-71-3166	Holly Rivers	F	"046 Miller Shoals
Maryberg, RI 07405"
22	1936/06/20	"54267 Rebecca Pine Apt. 630
Port Jennifer, SD 59083"	White	(Decimal('-48.3510795'), Decimal('-111.595677'))	AB+	269-89-3723	Kevin Herrera	M	"6791 Patrick Ferry
East Sharonbury, WI 57637"
23	10 Nov 1921	"382 Anthony Rapid Suite 337
Cohenbury, MN 31066"	blsck	(Decimal('86.219387'), Decimal('89.728046'))	A-	114-23-7906	Joseph Jackson	M	"74678 Wesley Vista
East Carolineshire, ND 82902"
24	1950-12-19	"87983 Gabriella Fort Apt. 336
Parkermouth, CA 02935"	Asian	(Decimal('-39.242600'), Decimal('-25.428195'))	A+	227-18-8341	John Pierce	M	"PSC 7722, Box 7083
APO AP 37643"
25	1978/09/06	"4140 Kenneth Motorway
Lake Christina, WI 50058"	Black	(Decimal('5.6763605'), Decimal('-7.480099'))	A+	220-15-5712	Lucas Macdonald	M	"307 Tapia Shoals Suite 975
Navarroberg, RI 32911"
26	1939-06-22	"0609 Ramsey Lock
Toddtown, IL 63102"	Black	(Decimal('83.5915305'), Decimal('43.942110'))	AB+	780-86-8383	Eric Sawyer	M	"Unit 0533 Box 2823
DPO AE 81955"
27	2010/09/20	"92308 Ball Plains Suite 758
New Edward, FL 08880"	White	(Decimal('-32.0387445'), Decimal('135.574296'))	B-	231-77-1203	Patricia Bartlett	F	"3755 Little Mission Apt. 502
Hollyberg, VA 09550"
28	1930/03/15	"193 Hansen Cliff Suite 165
Jacksonbury, KY 43503"	White	(Decimal('-1.0268685'), Decimal('42.321534'))	O+	822-82-1057	Angela Haley	F	"712 Kevin Underpass Apt. 364
Robertport, UT 77228"
29	1979/10/26	"370 Ryan Light Apt. 826
Port Stephenport, AZ 29667"	blsck	(Decimal('31.8078965'), Decimal('-131.150832'))	AB-	766-28-9866	Suzanne Travis	F	"013 Paul Land Suite 471
New Anthony, ND 26064"
